Timestamp,Price,Market Cap,24h Volume,Coin
2014-08-14,503.7087999999998,6619438824.319998,46265624.62553175,BTC
2014-08-15,492.2844982828295,6470895123.240938,31123413.362281278,BTC
2014-08-16,521.0463000000001,6851511348.007502,27941383.427219495,BTC
2014-08-17,494.7813,6508254263.94,28596111.80240412,BTC
2014-08-18,459.8863000000001,6051494358.652501,60758484.534893334,BTC
2014-08-19,484.1549999999999,6373125926.999999,45173284.02810885,BTC
2014-08-20,514.1863000000001,6770599523.880001,55122051.107402146,BTC
2014-08-21,515.605,6791368598.25,47111104.07847081,BTC
2014-08-22,515.8263000000001,6796320998.280002,34159957.60252427,BTC
2014-08-23,496.5688000000001,6544627813.360002,23986341.558129977,BTC
2014-08-24,508.1138,6698642065.23,18509793.266628254,BTC
2014-08-25,500.3863,6598469041.525,15737842.720394537,BTC
2014-08-26,510.6387999999999,6735887474.679998,21288943.923400816,BTC
2014-08-27,510.4463,6735479301.2325,21505988.92038193,BTC
2014-08-28,506.9150000000001,6691049888.250001,18467248.48861226,BTC
2014-08-29,508.0963,6708840033.1625,16001723.62834569,BTC
2014-08-30,501.5300000000001,6624308546.000001,10747408.658269238,BTC
2014-08-31,480.0262999999999,6342575501.242498,43358429.758384064,BTC
2014-09-01,475.8200000000002,6288710716.500003,19343751.807486504,BTC
2014-09-02,474.6938,6275487638.035,21083352.224831242,BTC
2014-09-03,474.7263000000001,6277994218.035002,14233663.71176932,BTC
2014-09-04,489.5475000000001,6475917910.312501,23597497.056552686,BTC
2014-09-05,480.2425000000001,6354592772.125001,14058803.04997312,BTC
2014-09-06,482.3588,6384706079.29,9776900.705157386,BTC
2014-09-07,480.6025,6363333295.8125,7748654.382831849,BTC
2014-09-08,471.1250000000001,6239603056.250001,27618107.417669404,BTC
2014-09-09,471.7538,6249605640.88,20218609.30319999,BTC
2014-09-10,477.1138,6322521232.08,20792329.424092777,BTC
2014-09-11,476.3775000000001,6314752955.062501,14579193.13186878,BTC
2014-09-12,473.6874999999999,6280918617.187499,13395857.32409978,BTC
2014-09-13,476.0013,6313764543.4275,14007703.004896387,BTC
2014-09-14,474.795,6299010306.0,11468703.326540692,BTC
2014-09-15,473.0313,6278083239.3825,12723496.884358438,BTC
2014-09-16,462.5925,6141505242.9375,16956832.82370955,BTC
2014-09-17,454.6238000000001,6037835956.610002,23179362.991400693,BTC
2014-09-18,423.565,5627251629.25,48338347.98438927,BTC
2014-09-19,393.2624999999999,5226301319.999999,47766762.1622319,BTC
2014-09-20,408.5025,5430693510.375,47847915.31720254,BTC
2014-09-21,396.62,5274312253.0,32843840.15919743,BTC
2014-09-22,398.3113000000001,5298466363.772501,24225299.2144736,BTC
2014-09-23,433.7512999999999,5771559860.494999,57448184.246617585,BTC
2014-09-24,420.92,5602424154.0,32689372.436466075,BTC
2014-09-25,407.9775,5431965426.5625,30733509.96720748,BTC
2014-09-26,402.88,5365475264.0,23707503.068168852,BTC
2014-09-27,398.0074999999999,5301867857.687499,16698720.05207724,BTC
2014-09-28,375.9887999999999,5009825166.719998,29504744.82791448,BTC
2014-09-29,373.0888,4972406272.54,37668363.03976922,BTC
2014-09-30,387.3512999999999,5164012591.079999,34519038.81008948,BTC
2014-10-01,380.8949999999999,5079406227.749999,26019381.155069035,BTC
2014-10-02,371.8413,4959944620.5375,19867284.508463353,BTC
2014-10-03,356.1899999999999,4752500693.999999,29080111.339532,BTC
2014-10-04,327.8813,4376051376.385,44971218.61630971,BTC
2014-10-05,325.1099999999999,4340421693.749999,81809696.99023308,BTC
2014-10-06,328.73,4390074094.5,75997580.13997829,BTC
2014-10-07,331.7238,4431199692.78,43924704.45993865,BTC
2014-10-08,353.3901000000001,4721892499.170001,50777426.825353265,BTC
2014-10-09,358.395,4790047733.625,80036548.33990295,BTC
2014-10-10,357.5549999999999,4780224305.999999,42046080.75021416,BTC
